duration,radiant_series_wins,dire_series_wins,score,0_rts,1_rts,2_rts,3_rts,4_rts,5_rts,6_rts,7_rts,8_rts,9_rts,10_rts,0_dts,1_dts,2_dts,3_dts,4_dts,5_dts,6_dts,7_dts,8_dts,9_dts,10_dts,0_rbs,1_rbs,2_rbs,3_rbs,4_rbs,5_rbs,0_dbs,1_dbs,2_dbs,3_dbs,4_dbs,5_dbs,net_worth,assissts,last_hits,gold,level,gpm,xpm,winner
47.199951171875,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-171,0,2,-156,0,-394,200,radiant
107.5,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-693,-1,-3,-748,-2,-482,-109,radiant
167.800048828125,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-440,-1,-6,60,-1,-317,48,radiant
227.9666748046875,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1089,-1,-16,111,-1,-367,-174,radiant
288.2667236328125,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-945,-1,-6,-270,1,-239,-25,radiant
348.433349609375,0,0,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1758,-2,-9,317,-1,-324,-130,radiant
403.63330078125,0,0,-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2717,-5,-15,-1957,-1,-392,-140,radiant
463.86669921875,0,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3251,-8,-13,-1026,-2,-425,-164,radiant
524.0333251953125,0,0,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3853,-11,-15,-1563,-3,-438,-193,radiant
584.2333984375,0,0,-6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3724,-12,-2,-1234,-3,-389,-148,radiant
644.4666748046875,0,0,-6,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3545,-12,-2,-1655,-2,-354,-150,radiant
704.666748046875,0,0,-7,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-4035,-13,1,785,-1,-363,-99,radiant
759.86669921875,0,0,-7,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-4790,-13,-15,-590,-2,-396,-138,radiant
880.36669921875,0,0,-8,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-5408,-15,-11,-938,0,-385,-58,radiant
940.5,0,0,-9,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-5491,-19,-6,-221,-1,-363,-107,radiant
1000.7667236328125,0,0,-11,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-7243,-24,-12,-728,-3,-443,-259,radiant
1060.966796875,0,0,-11,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-7147,-24,-3,618,-3,-408,-228,radiant
1121.1668701171875,0,0,-11,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-7426,-24,-7,-2661,-1,-413,-210,radiant
1181.4002685546875,0,0,-11,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-6704,-24,26,16,-1,-373,-105,radiant
1236.6002197265625,0,0,-12,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-5520,-27,15,-1080,-3,-371,-191,radiant
1296.8001708984375,0,0,-12,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-5624,-27,49,-209,2,-350,73,radiant
1357.0335693359375,0,0,-12,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-5352,-27,73,-2087,3,-320,125,radiant
1417.2000732421875,0,0,-15,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-10083,-39,64,-6968,-1,-425,-90,radiant
1477.3668212890625,0,0,-13,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-4742,-33,90,-3002,4,-227,219,radiant
1537.6334228515625,0,0,-13,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-6241,-33,101,-1896,5,-210,230,radiant
1592.8668212890625,0,0,-12,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-3992,-30,97,4903,4,-155,253,radiant
1652.9669189453125,0,0,-12,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-5404,-29,107,-634,6,-148,245,radiant
1713.1334228515625,0,0,-12,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-4049,-29,142,1621,6,-87,353,radiant
