duration,radiant_series_wins,dire_series_wins,score,0_rts,1_rts,2_rts,3_rts,4_rts,5_rts,6_rts,7_rts,8_rts,9_rts,10_rts,0_dts,1_dts,2_dts,3_dts,4_dts,5_dts,6_dts,7_dts,8_dts,9_dts,10_dts,0_rbs,1_rbs,2_rbs,3_rbs,4_rbs,5_rbs,0_dbs,1_dbs,2_dbs,3_dbs,4_dbs,5_dbs,radiant_item_embeddings,dire_item_embeddings,radiant_embeddings,dire_embeddings,net_worth,assissts,last_hits,gold,level,gpm,xpm,winner
20.433349609375,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02733735,0.018533813,0.01612771,0.015511045,205,0,0,-215,0,0,0,radiant
69.0999755859375,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.027288873,0.019838713,0.01612771,0.015511045,-5,0,-3,-65,0,-138,-26,radiant
129.2667236328125,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.028866015,0.014611793,0.01612771,0.015511045,698,2,1,488,1,299,324,radiant
189.5,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.024308017,0.014973294,0.01612771,0.015511045,5,2,2,-80,3,119,220,radiant
249.7000732421875,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.024757419,0.011835817,0.01612771,0.015511045,-373,2,1,-598,0,-32,45,radiant
309.933349609375,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02094404,0.0123027405,0.01612771,0.015511045,-364,2,2,546,0,-4,-11,radiant
365.166748046875,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.015335086,0.0054287645,0.01612771,0.015511045,-396,3,2,44,0,26,6,radiant
425.3333740234375,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009500774,-0.0041954275,0.01612771,0.015511045,-343,4,0,572,0,52,10,radiant
485.5333251953125,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0041768765,-0.007105234,0.01612771,0.015511045,-1580,1,-7,-1190,0,-100,-77,radiant
545.7667236328125,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.005499299,-0.0057215113,0.01612771,0.015511045,-915,2,1,1640,0,-23,3,radiant
605.9666748046875,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0031120896,-0.016643753,0.01612771,0.015511045,-406,5,0,344,1,6,40,radiant
666.2000732421875,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-0.0005765202,-0.018398548,0.01612771,0.015511045,438,5,7,788,1,89,96,radiant
726.4000244140625,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.003768089,-0.017903764,0.01612771,0.015511045,153,5,-2,-222,0,46,35,radiant
786.60009765625,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0034031656,-0.010005301,0.01612771,0.015511045,-1058,1,6,-933,0,-49,-51,radiant
841.800048828125,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.004784397,-0.008999982,0.01612771,0.015511045,-1192,1,15,333,-2,-53,30,radiant
902.10009765625,0,0,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0022231832,-0.010244381,0.01612771,0.015511045,-1794,-4,32,-464,-2,-54,-21,radiant
